Timestamp;Main Camera (1)_gazeDirection_right;Main Camera (1)_gazeDirection_left;Total_Angles_x;Total_Angles_y;Main Camera (1)_position;Main Camera (1)_orientation;messages;
1.32067;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
1.33432;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
1.34908;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
1.36477;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
1.38331;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
1.39680;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
1.41827;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
1.43395;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
1.45234;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
1.46509;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
1.48553;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
1.49828;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
1.51559;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
1.52910;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
1.54698;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
1.56000;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
1.58612;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
1.59938;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
1.61850;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
1.63272;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
1.64983;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
1.66569;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
1.68357;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
1.69920;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
1.71621;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
1.72994;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
1.74891;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
1.76246;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
1.78259;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
1.79571;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
1.81677;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
1.83053;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
1.85199;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
1.86947;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
1.88304;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
1.90270;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
1.92466;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
1.94395;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
1.96128;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
1.98066;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
1.99309;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
2.01092;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
2.04677;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
2.06065;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
2.07924;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
2.09185;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
2.11699;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
2.13784;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
2.15247;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
2.17029;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
