Timestamp;Total_Angles_x;Total_Angles_y;Main Camera (1)_position;Main Camera (1)_orientation;messages;
8.86130;25.29917;-0.8129974;(0.096, 1.675, 0.473);(-0.107, -0.005, -0.032, 0.994);
8.90317;13.10441;2.832254;(0.097, 1.676, 0.470);(-0.106, -0.006, -0.032, 0.994);No pattern saccade;
8.94695;-10.21507;2.748721;(0.096, 1.676, 0.470);(-0.105, -0.008, -0.033, 0.994);Pattern 1 saccade;
8.98958;-26.01079;-1.517668;(0.096, 1.675, 0.471);(-0.104, -0.010, -0.033, 0.994);Pattern 1 saccade;
9.03268;-40.8809;-3.413961;(0.095, 1.675, 0.473);(-0.104, -0.013, -0.033, 0.994);Pattern 1 saccade;
9.08928;-45.87547;-3.723444;(0.093, 1.674, 0.475);(-0.104, -0.014, -0.033, 0.994);Pattern 1 saccade;
9.13114;-45.9204;-3.815023;(0.093, 1.673, 0.476);(-0.103, -0.015, -0.032, 0.994);Pattern 1 saccade;
9.17426;-46.13615;-3.924716;(0.092, 1.673, 0.476);(-0.103, -0.013, -0.032, 0.994);
9.21683;-46.29123;-4.029498;(0.092, 1.672, 0.477);(-0.103, -0.014, -0.031, 0.994);
9.24947;-46.60845;-4.197035;(0.091, 1.672, 0.477);(-0.102, -0.015, -0.030, 0.994);
9.28924;-46.57601;-4.226603;(0.091, 1.672, 0.477);(-0.102, -0.016, -0.030, 0.994);
9.33121;-46.57687;-4.280903;(0.091, 1.672, 0.477);(-0.102, -0.016, -0.030, 0.994);
9.37433;-46.57999;-4.375344;(0.090, 1.672, 0.477);(-0.102, -0.016, -0.030, 0.994);
9.41685;-46.40586;-4.495603;(0.090, 1.672, 0.477);(-0.101, -0.016, -0.029, 0.994);
9.46020;-46.31448;-4.804526;(0.090, 1.672, 0.478);(-0.102, -0.016, -0.029, 0.994);
9.50444;-45.94155;-5.067584;(0.089, 1.672, 0.477);(-0.102, -0.017, -0.029, 0.994);
9.54622;-45.85265;-5.145667;(0.089, 1.672, 0.477);(-0.102, -0.017, -0.029, 0.994);
9.57601;-45.68084;-5.620399;(0.089, 1.672, 0.477);(-0.102, -0.017, -0.029, 0.994);
9.61779;-45.54985;-5.687423;(0.089, 1.672, 0.477);(-0.102, -0.017, -0.029, 0.994);
9.65942;-45.59549;-5.691494;(0.089, 1.672, 0.477);(-0.102, -0.016, -0.029, 0.994);
9.69025;-45.68606;-5.6728;(0.090, 1.673, 0.477);(-0.102, -0.016, -0.029, 0.994);
9.73147;-45.77843;-5.628711;(0.090, 1.673, 0.476);(-0.102, -0.016, -0.029, 0.994);
9.76020;-24.30967;-3.438406;(0.090, 1.673, 0.476);(-0.102, -0.015, -0.029, 0.994);
9.80447;0.7250698;0.01238313;(0.090, 1.673, 0.476);(-0.102, -0.014, -0.028, 0.994);Pattern 1 saccade;
9.84957;31.39017;-3.291953;(0.091, 1.672, 0.476);(-0.102, -0.011, -0.028, 0.994);Pattern 1 saccade;
9.88998;52.11288;-8.338582;(0.091, 1.672, 0.476);(-0.101, -0.007, -0.028, 0.994);Pattern 1 saccade;
9.93051;58.74808;-11.31583;(0.093, 1.673, 0.474);(-0.101, -0.003, -0.028, 0.995);Pattern 1 saccade;
