Timestamp;Main Camera (1)_position;Main Camera (1)_orientation;messages;
2.85238;Origin: (0.263, 1.583, 0.341), Dir: (-0.058, 0.093, 0.994);Origin: (0.201, 1.585, 0.328), Dir: (-0.450, 0.358, 0.818);(0.232, 1.584, 0.334);(-0.184, -0.097, -0.033, 0.978);
2.91829;Origin: (0.263, 1.583, 0.339), Dir: (-0.059, 0.094, 0.994);Origin: (0.201, 1.585, 0.326), Dir: (-0.451, 0.358, 0.817);(0.232, 1.584, 0.333);(-0.184, -0.097, -0.032, 0.977);
2.93996;Origin: (0.263, 1.583, 0.338), Dir: (-0.059, 0.095, 0.994);Origin: (0.201, 1.585, 0.325), Dir: (-0.452, 0.358, 0.817);(0.232, 1.584, 0.332);(-0.185, -0.097, -0.031, 0.977);
2.96749;Origin: (0.262, 1.583, 0.336), Dir: (-0.057, 0.096, 0.994);Origin: (0.200, 1.584, 0.324), Dir: (-0.451, 0.357, 0.818);(0.231, 1.583, 0.330);(-0.185, -0.096, -0.030, 0.978);
3.01654;Origin: (0.262, 1.583, 0.335), Dir: (-0.055, 0.095, 0.994);Origin: (0.200, 1.584, 0.323), Dir: (-0.450, 0.357, 0.819);(0.231, 1.583, 0.329);(-0.185, -0.096, -0.029, 0.978);
3.11332;Origin: (0.262, 1.582, 0.335), Dir: (-0.053, 0.095, 0.994);Origin: (0.200, 1.584, 0.322), Dir: (-0.448, 0.356, 0.820);(0.231, 1.583, 0.329);(-0.185, -0.095, -0.029, 0.978);
3.15980;Origin: (0.261, 1.581, 0.334), Dir: (-0.051, 0.093, 0.994);Origin: (0.199, 1.583, 0.322), Dir: (-0.446, 0.356, 0.821);(0.230, 1.582, 0.328);(-0.184, -0.094, -0.030, 0.978);
3.20074;Origin: (0.260, 1.581, 0.336), Dir: (-0.045, 0.088, 0.995);Origin: (0.199, 1.583, 0.324), Dir: (-0.439, 0.355, 0.825);(0.229, 1.582, 0.330);(-0.182, -0.090, -0.033, 0.979);
3.27666;Origin: (0.259, 1.580, 0.338), Dir: (-0.042, 0.085, 0.996);Origin: (0.197, 1.582, 0.326), Dir: (-0.435, 0.353, 0.828);(0.228, 1.581, 0.332);(-0.180, -0.088, -0.035, 0.979);
3.31482;Origin: (0.258, 1.579, 0.339), Dir: (-0.038, 0.081, 0.996);Origin: (0.196, 1.582, 0.327), Dir: (-0.431, 0.352, 0.831);(0.227, 1.580, 0.333);(-0.179, -0.086, -0.037, 0.979);
3.35824;Origin: (0.258, 1.580, 0.340), Dir: (-0.033, 0.080, 0.996);Origin: (0.196, 1.582, 0.329), Dir: (-0.426, 0.352, 0.833);(0.227, 1.581, 0.335);(-0.178, -0.084, -0.038, 0.980);
3.43153;Origin: (0.258, 1.580, 0.341), Dir: (-0.033, 0.082, 0.996);Origin: (0.196, 1.583, 0.330), Dir: (-0.426, 0.353, 0.833);(0.227, 1.581, 0.335);(-0.179, -0.083, -0.038, 0.980);
3.47302;Origin: (0.258, 1.580, 0.341), Dir: (-0.033, 0.084, 0.996);Origin: (0.196, 1.583, 0.330), Dir: (-0.426, 0.355, 0.832);(0.227, 1.582, 0.335);(-0.180, -0.084, -0.037, 0.979);
3.49475;Origin: (0.257, 1.580, 0.340), Dir: (-0.034, 0.087, 0.996);Origin: (0.195, 1.583, 0.329), Dir: (-0.427, 0.356, 0.831);(0.226, 1.581, 0.334);(-0.181, -0.084, -0.036, 0.979);
3.52572;Origin: (0.257, 1.580, 0.339), Dir: (-0.034, 0.088, 0.996);Origin: (0.195, 1.582, 0.328), Dir: (-0.428, 0.356, 0.830);(0.226, 1.581, 0.334);(-0.182, -0.085, -0.035, 0.979);
3.59566;Origin: (0.257, 1.580, 0.339), Dir: (-0.034, 0.089, 0.995);Origin: (0.195, 1.582, 0.328), Dir: (-0.428, 0.357, 0.830);(0.226, 1.581, 0.333);(-0.182, -0.085, -0.035, 0.979);
